Point,X(Minutes),Y(Counts),Analyte
394,6.62,1398.317261,7mer
395,6.63,1402.580811,7mer
396,6.65,1452.176147,7mer
397,6.67,1509.51416,7mer
398,6.68,1548.311157,7mer
399,6.7,1564.19873,7mer
400,6.71,1570.473755,7mer
401,6.73,1581.768188,7mer
402,6.75,1597.429199,7mer
403,6.76,1600.637573,7mer
404,6.78,1572.279541,7mer
405,6.8,1508.962402,7mer
406,6.81,1432.77478,7mer
407,6.83,1379.710938,7mer
408,6.85,1372.807373,7mer
409,6.86,1404.869141,7mer
410,6.88,1448.031982,7mer
411,6.9,1474.928467,7mer
412,6.91,1479.877563,7mer
413,6.93,1476.687744,7mer
414,6.95,1484.690674,7mer
415,6.96,1509.908325,7mer
416,6.98,1543.215454,7mer
417,7,1570.172607,7mer
418,7.01,1582.555908,7mer
419,7.03,1575.660156,7mer
420,7.05,1548.664307,7mer
421,7.06,1510.64917,7mer
422,7.08,1481.860352,7mer
423,7.1,1477.55481,7mer
424,7.11,1489.158447,7mer
425,7.13,1490.512695,7mer
426,7.15,1469.074463,7mer
427,7.16,1440.430664,7mer
428,7.18,1427.175903,7mer
429,7.2,1429.9104,7mer
430,7.21,1423.929443,7mer
431,7.23,1380.656738,7mer
432,7.25,1296.200928,7mer
433,7.26,1201.0354,7mer
434,7.28,1143.959595,7mer
435,7.3,1154.056274,7mer
436,7.31,1221.658569,7mer
437,7.33,1307.437988,7mer
438,7.35,1374.617432,7mer
439,7.36,1412.074707,7mer
440,7.38,1432.694946,7mer
441,7.4,1454.048096,7mer
442,7.41,1483.764893,7mer
443,7.43,1517.122192,7mer
444,7.45,1544.279419,7mer
445,7.46,1553.619507,7mer
446,7.48,1533.778076,7mer
447,7.5,1479.783691,7mer
448,7.51,1397.440186,7mer
449,7.53,1302.701416,7mer
450,7.55,1214.846191,7mer
451,7.56,1154.180298,7mer
452,7.58,1138.402222,7mer
453,7.59,1169.468872,7mer
454,7.61,1233.228638,7mer
455,7.63,1311.912476,7mer
456,7.64,1396.452759,7mer
457,7.66,1480.886353,7mer
458,7.68,1553.971436,7mer
459,7.69,1604.944336,7mer
460,7.71,1635.594971,7mer
461,7.73,1653.199463,7mer
462,7.74,1652.961426,7mer
463,7.76,1618.883423,7mer
464,7.78,1551.72998,7mer
465,7.79,1482.786621,7mer
466,7.81,1447.093628,7mer
467,7.83,1447.212524,7mer
468,7.84,1450.043091,7mer
469,7.86,1419.881348,7mer
470,7.88,1347.505859,7mer
471,7.89,1245.99939,7mer
472,7.91,1133.195801,7mer
473,7.93,1026.81604,7mer
474,7.94,950.5981445,7mer
475,7.96,928.6530762,7mer
476,7.98,966.739624,7mer
477,7.99,1039.381226,7mer
478,8.01,1100.895264,7mer
479,8.03,1116.762939,7mer
480,8.04,1094.111938,7mer
481,8.06,1076.825806,7mer
482,8.08,1103.996704,7mer
483,8.09,1168.917969,7mer
484,8.11,1222.679077,7mer
485,8.13,1218.993042,7mer
486,8.14,1159.203979,7mer
487,8.16,1093.763306,7mer
488,8.18,1079.019287,7mer
489,8.19,1130.073486,7mer
490,8.21,1213.739868,7mer
491,8.23,1285.321655,7mer
492,8.24,1326.126953,7mer
